K2O_wt,Fe2O3T_wt,SiO2_wt,Al2O3_wt,P2O5_tot_wt,C_org_wt,Lat_deg,Lon_deg,Country,Region,Citation,Train
2.64,4.13,70.39,13.27,0.13,0.73,68.73,124.06,Russia,Lower Lena,Borges et al. 2008,1
2.73,4.12,66.09,13.54,0.14,0.74,62.48,136.04,Russia,Lower Lena,Borges et al. 2008,1
2.3,4.5,75,11.9,0.2,1.5,64.0101695,41.543393,Russia,White Sea,Gordeev et al. 2012,1
2.4,5.4,42.4,13.6,0.3,1.9,64.33751,40.161621,Russia,White Sea,Gordeev et al. 2012,1
2.1,5.7,55.3,16.1,0.2,1.9,64.331893,40.291347,Russia,White Sea,Gordeev et al. 2012,1
2.3,5.7,69.8,14.2,0.3,2.4,64.394984,40.252108,Russia,White Sea,Gordeev et al. 2012,1
2.3,5.4,71.6,12.5,0.2,2.4,64.074894,41.511715,Russia,White Sea,Gordeev et al. 2012,1
2.3,8.2,64.4,11.8,0.3,2.4,64.45215,40.010971,Russia,White Sea,Gordeev et al. 2012,1
2.2,6.8,65.5,14,0.3,2.7,64.422074,40.332158,Russia,White Sea,Gordeev et al. 2012,1
2.4,6.8,68.5,15.7,0.3,2.4,63.34608,40.30033,Russia,White sea,Pokrovsky et al. 2010,1
1.7,4.6,58.3,9.4,0.4,38,63.34608,40.30033,Russia,White sea,Pokrovsky et al. 2010,1
1.3,5.5,65.6,13.1,0.1,1.2,-30.680615,26.711859,South Africa,South Africa,Compton & Maake 2007,1
1.1,6.1,62.5,13.6,0.1,1.3,-30.481916,27.32822,South Africa,South Africa,Compton & Maake 2007,1
3.7,3.1,67,13.7,0.5,1.8,42.136283,-8.629831,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
2.9,7.6,47.6,21.8,0.9,4.5,42.220886,-8.597697,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.5,6.2,52.4,18.4,0.6,5.7,42.193923,-8.607286,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.6,5.5,61.4,18.6,0.4,6.2,42.152374,-8.623901,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.2,5.9,53.2,19.2,1.9,6.2,42.085591,-8.636723,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.1,7.1,46,22.8,1.2,6.7,42.18017,-8.616462,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.1,7,49.8,20.9,2.2,6.7,42.056365,-8.634334,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
2.9,4.3,69,14.6,0.2,6.9,42.245172,-8.594317,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.2,6.9,46.8,23.2,1.2,6.9,42.164289,-8.625608,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.1,6.2,52.8,18.4,1.1,8,42.06904,,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
3.4,4.7,61.3,16.1,0.9,8.9,42.050889,-8.632259,Spain,"Galicia, Spain",Filgueiras et al. 2004,1
0.24,1.48,90.92,4.17,0.03,0.11,16.36,102.8,Thailand,Central Thailand,Hossain et al. 2017,1
0.28,5.54,80.03,9.09,0.03,0.19,15.22,102.47,Thailand,Central Thailand,Hossain et al. 2017,1
2.12,6.05,65.53,15.56,0.14,0.21,17.89,102.74,Thailand,Central Thailand,Hossain et al. 2017,1
0.78,2.89,88.04,4.5,0.04,1.44,18.27,99.46,Thailand,Central Thailand,Hossain et al. 2017,1
2.7,5.62,65.25,15.51,0.17,1.47,18.78,99,Thailand,Central Thailand,Hossain et al. 2017,1
0.87,3.35,79.73,8.76,0.25,0.04,16.87,100.25,Thailand,Southern Thailand,Hossain et al. 2017,1
3.31,0.65,85.67,7.34,0.04,0.19,16.88,99.12,Thailand,Southern Thailand,Hossain et al. 2017,1
2.08,6.46,64.7,15.82,0.15,1.18,18,99.77,Thailand,Southern Thailand,Hossain et al. 2017,1
2.6,3.45,76.38,8.91,0.08,0.03,21.74,104.84,Vietnam,Lower Hong He,Borges et al. 2008,1
1.38,2.92,81.92,6.4,0.06,0.04,22.08,103.16,Vietnam,Lower Hong He,Borges et al. 2008,1
0.99,2.63,83.45,5.24,0.07,0.04,25.09,100.55,Vietnam,Lower Hong He,Borges et al. 2008,1
2.39,0.89,85.6,5.14,0.02,0.05,21.72,105.08,Vietnam,Lower Hong He,Borges et al. 2008,1
2.79,4.2,71.09,10.85,0.1,0.1,22.84,104.98,Vietnam,Lower Hong He,Borges et al. 2008,1
1.81,3.51,85.95,6.74,0.08,0.12,21.46,104.04,Vietnam,Lower Hong He,Borges et al. 2008,1
2.33,6.93,65.85,10.45,0.1,0.12,22.59,103.85,Vietnam,Lower Hong He,Borges et al. 2008,1
1.41,4.45,83.94,6.59,0.07,0.14,23.35,101.51,Vietnam,Lower Hong He,Borges et al. 2008,1
1.8,4.72,76.95,7.56,0.12,0.14,23.63,101.98,Vietnam,Lower Hong He,Borges et al. 2008,1
2.69,10.89,63.95,9.42,0.09,0.14,22.24,104.48,Vietnam,Lower Hong He,Borges et al. 2008,1
1.72,4.64,77.18,7.55,0.09,0.15,22.14,105.28,Vietnam,Lower Hong He,Borges et al. 2008,1
1.42,3.09,80.6,7.7,0.07,0.17,23.24,101.33,Vietnam,Lower Hong He,Borges et al. 2008,1
1.89,4.54,71.24,10.37,0.09,0.23,23.35,101.51,Vietnam,Lower Hong He,Borges et al. 2008,1
2.84,4.78,67.82,11.26,0.1,0.25,21.4,105.23,Vietnam,Lower Hong He,Borges et al. 2008,1
1.38,2.97,79.2,7.26,0.07,0.4,23.24,101.33,Vietnam,Lower Hong He,Borges et al. 2008,1
2.42,3.77,73.47,9.69,0.09,0.44,21.62,105.19,Vietnam,Lower Hong He,Borges et al. 2008,1
2.63,5.24,65.97,11.53,0.2,0.87,22.52,104.01,Vietnam,Lower Hong He,Borges et al. 2008,1
2.96,4.49,72.45,10.93,0.28,0.02,24.52,100.47,Vietnam,Lower Mekong,Borges et al. 2008,1
1.78,4.52,63.35,8.88,0.08,0.04,31.19,97.09,Vietnam,Lower Mekong,Borges et al. 2008,1
2.99,3.1,76.98,9.34,0.09,0.04,23.56,100.18,Vietnam,Lower Mekong,Borges et al. 2008,1
1.26,2.82,81.8,6.76,0.05,0.04,23.21,100.93,Vietnam,Lower Mekong,Borges et al. 2008,1
4.47,5.54,61.97,16.46,0.11,0.07,24.09,100.29,Vietnam,Lower Mekong,Borges et al. 2008,1
2.75,3.4,75.99,9.13,0.15,0.09,24.52,100.47,Vietnam,Lower Mekong,Borges et al. 2008,1
0.86,6.77,76.44,7.02,0.08,0.09,23.2,100.93,Vietnam,Lower Mekong,Borges et al. 2008,1
0.69,2.14,93.64,3.62,0.04,0.14,23.6,100.3,Vietnam,Lower Mekong,Borges et al. 2008,1
1.85,3.47,70.8,8.62,0.09,0.18,25.39,99.29,Vietnam,Lower Mekong,Borges et al. 2008,1
1.15,2.8,80.46,6.33,0.05,0.18,25.49,99.97,Vietnam,Lower Mekong,Borges et al. 2008,1
1.05,5.1,83.45,7.6,0.05,0.19,23.21,100.93,Vietnam,Lower Mekong,Borges et al. 2008,1
1.11,2.63,90.32,5.76,0.04,0.21,23.21,100.93,Vietnam,Lower Mekong,Borges et al. 2008,1
0.95,2.63,86.1,5.1,0.04,0.29,23.6,100.3,Vietnam,Lower Mekong,Borges et al. 2008,1
2.29,3.89,66.44,10.39,0.01,0.34,31.28,96.61,Vietnam,Lower Mekong,Borges et al. 2008,1
1.78,4.06,64.58,20.48,0.03,0.29,14.19,100.55,Vietnam,Southern Vietnam,Hossain et al. 2017,1
2.14,3.41,76.82,11.45,0.09,0.52,15.55,100.11,Vietnam,Southern Vietnam,Hossain et al. 2017,1
3.06,5.82,62.05,16.39,0.18,1.44,13.95,99.75,Vietnam,Southern Vietnam,Hossain et al. 2017,1
